cust_id,transaction_id,date,product_id,coupon_status,coupon_code,discount_percentage,delivery_charges,quantity
12346,38223,2019-09-15,B0B2RBP83P,Used,OFF30,0.3,75.0,2
12346,38223,2019-09-15,B0B6F7LX4C,Used,SALE30,0.3,75.0,1
12347,23979,2019-03-24,B00LZLQ624,Used,OFF30,0.3,14.41,1
12347,23979,2019-03-24,B095X38CJS,Not Used,OFF30,0.3,14.41,1
12347,23980,2019-03-24,B00Y4ORQ46,Not Used,ELEC30,0.3,6.5,5
12347,23980,2019-03-24,B09DL9978Y,Used,ELEC30,0.3,6.5,1
12347,23981,2019-03-24,B07S851WX5,Not Used,HGEAR30,0.3,49.73,2
12347,23981,2019-03-24,B08BG4M4N7,Not Used,AIO30,0.3,49.73,4
12347,23981,2019-03-24,B09Y5FZK9N,Not Used,EXTRA30,0.3,49.73,4
12347,23981,2019-03-24,B0B2PQL5N3,Used,OFF30,0.3,49.73,10
12347,23981,2019-03-24,B0B61HYR92,Not Used,EXTRA30,0.3,49.73,3
12347,23984,2019-03-24,B00P0R95EA,Not Used,SALE30,0.3,6.5,189
12347,23984,2019-03-24,B00P0R95EA,Used,SALE30,0.3,6.5,28
12347,23985,2019-03-24,B09DL9978Y,Not Used,ELEC30,0.3,6.5,1
12347,23986,2019-03-24,B07XLML2YS,Not Used,ELEC30,0.3,6.5,3
12347,23987,2019-03-24,B07XLML2YS,Used,ELEC30,0.3,6.5,1
12347,23989,2019-03-24,B099PR2GQJ,Not Used,OFF30,0.3,6.5,30
12347,23990,2019-03-24,B078KRFWQB,Not Used,SALE30,0.3,6.5,1
12347,23990,2019-03-24,B08NCKT9FG,Not Used,SALE30,0.3,6.5,1
12347,23992,2019-03-24,B07XLML2YS,Used,ELEC30,0.3,6.5,2
12347,23993,2019-03-24,B01N90RZ4M,Not Used,ELEC30,0.3,6.5,4
12347,23993,2019-03-24,B07XLML2YS,Not Used,ELEC30,0.3,6.5,3
12347,23996,2019-03-24,B085W8CFLH,Not Used,SALE30,0.3,6.5,1
12347,23997,2019-03-24,B00KRCBA6E,Used,SALE30,0.3,6.5,1
12347,23997,2019-03-24,B00LZLQ624,Not Used,OFF30,0.3,6.5,2
12347,23997,2019-03-24,B08BG4M4N7,Not Used,AIO30,0.3,6.5,2
12347,23997,2019-03-24,B08NCKT9FG,Not Used,SALE30,0.3,6.5,1
12347,23997,2019-03-24,B08XMG618K,Used,OFF30,0.3,6.5,2
12347,23997,2019-03-24,B09Y5FZK9N,Not Used,BT30,0.3,6.5,2
12347,42370,2019-11-01,B0B9XLX8VR,Not Used,SALE20,0.2,20.85,1
12347,42370,2019-11-01,B0B9XLX8VR,Used,OFF20,0.2,20.85,1
12347,42371,2019-11-01,B0B6F7LX4C,Not Used,EXTRA20,0.2,6.0,3
12347,42371,2019-11-01,B0B9XLX8VR,Not Used,SALE20,0.2,6.0,1
12347,42373,2019-11-02,B07VX71FZP,Not Used,ELEC20,0.2,6.0,1
12347,42374,2019-11-02,B07VX71FZP,Not Used,ELEC20,0.2,6.0,1
12347,42376,2019-11-02,B09DL9978Y,Used,ELEC20,0.2,12.99,1
12347,42377,2019-11-02,B09DL9978Y,Not Used,ELEC20,0.2,6.0,2
12347,42378,2019-11-02,B07K19NYZ8,Not Used,ELEC20,0.2,6.0,1
12347,42379,2019-11-02,B07LFWP97N,Not Used,SALE20,0.2,6.0,1
12347,42379,2019-11-02,B07Z1X6VFC,Not Used,SALE20,0.2,6.0,1
12347,42379,2019-11-02,B09VT6JKRP,Used,SALE20,0.2,6.0,1
12347,42379,2019-11-02,B09WN3SRC7,Not Used,SALE20,0.2,6.0,1
12347,42380,2019-11-02,B08DDRGWTJ,Used,NE20,0.2,12.99,1
12347,42388,2019-11-02,B08NCKT9FG,Not Used,SALE20,0.2,6.0,1
12347,42388,2019-11-02,B09WN3SRC7,Used,SALE20,0.2,6.0,1
12347,42388,2019-11-02,B0B9959XF3,Not Used,SALE20,0.2,6.0,1
12347,42390,2019-11-02,B09DL9978Y,Used,ELEC20,0.2,6.0,1
12347,42391,2019-11-02,B0B2RBP83P,Used,OFF20,0.2,6.0,5
12347,42392,2019-11-02,B07GXHC691,Used,OFF20,0.2,6.0,1
12347,42392,2019-11-02,B07XJYYH7L,Not Used,ACC20,0.2,6.0,1
12347,42392,2019-11-02,B08D9NDZ1Y,Not Used,OFF20,0.2,6.0,1
12347,42392,2019-11-02,B0B9XLX8VR,Used,OFF20,0.2,6.0,1
12347,42393,2019-11-02,B09DL9978Y,Used,ELEC20,0.2,19.99,2
12347,42394,2019-11-02,B07VX71FZP,Not Used,ELEC20,0.2,6.0,1
12347,42395,2019-11-02,B07K19NYZ8,Not Used,ELEC20,0.2,6.0,1
12347,42396,2019-11-02,B0BLV1GNLN,Used,NE20,0.2,6.0,1
12347,42397,2019-11-02,B01N90RZ4M,Not Used,ELEC20,0.2,6.0,1
12347,42397,2019-11-02,B07XLML2YS,Used,ELEC20,0.2,6.0,1
12348,31048,2019-06-22,B00N1U9AJS,Used,EXTRA30,0.3,6.0,10
12348,31048,2019-06-22,B0B2RBP83P,Not Used,OFF30,0.3,6.0,30
12348,31049,2019-06-22,B00C3GBCIS,Not Used,EXTRA30,0.3,6.0,1
12348,31049,2019-06-22,B07GXHC691,Used,OFF30,0.3,6.0,1
12348,31049,2019-06-22,B07Z1X6VFC,Not Used,AIO30,0.3,6.0,1
12348,31049,2019-06-22,B08RWCZ6SY,Used,OFF30,0.3,6.0,2
12348,31049,2019-06-22,B095X38CJS,Used,OFF30,0.3,6.0,6
12348,31049,2019-06-22,B0B9XLX8VR,Not Used,EXTRA30,0.3,6.0,4
12348,31049,2019-06-22,B0B9XLX8VR,Used,EXTRA30,0.3,6.0,5
12348,31050,2019-06-22,B00J5DYCCA,Not Used,SALE30,0.3,6.0,1
12348,31050,2019-06-22,B07XLML2YS,Not Used,ELEC30,0.3,6.0,2
12348,31050,2019-06-22,B08PKBMJKS,Not Used,SALE30,0.3,6.0,1
12348,31051,2019-06-22,B08NCKT9FG,Not Used,SALE30,0.3,6.0,1
12348,41106,2019-10-19,B0941392C8,Not Used,SALE10,0.1,12.99,1
12348,41107,2019-10-19,B07Z1X6VFC,Used,AIO10,0.1,32.08,60
12348,41107,2019-10-19,B09Y5FZK9N,Used,EXTRA10,0.1,32.08,65
12348,41109,2019-10-19,B07GXHC691,Not Used,OFF10,0.1,6.0,5
12348,41109,2019-10-19,B08XMG618K,Used,OFF10,0.1,6.0,10
12348,41110,2019-10-19,B01N90RZ4M,Not Used,ELEC10,0.1,6.0,3
12350,46870,2019-12-14,B09DL9978Y,Not Used,ELEC30,0.3,6.5,1
12350,46871,2019-12-14,B07XLML2YS,Used,NCA30,0.3,8.7,1
12350,46872,2019-12-14,B08H21B6V7,Used,SALE30,0.3,6.5,1
12350,46872,2019-12-14,B0B9XLX8VR,Not Used,SALE30,0.3,6.5,1
12350,46873,2019-12-14,B07XLML2YS,Not Used,NCA30,0.3,8.7,1
12350,46874,2019-12-14,B09WN3SRC7,Used,HGEAR30,0.3,6.5,1
12350,46874,2019-12-14,B0B9XLX8VR,Not Used,SALE30,0.3,6.5,3
12350,46875,2019-12-14,B09WN3SRC7,Not Used,SALE30,0.3,6.5,3
12350,46875,2019-12-14,B0B9XLX8VR,Not Used,SALE30,0.3,6.5,1
12350,46877,2019-12-14,B09DL9978Y,Not Used,ELEC30,0.3,6.5,1
12350,46878,2019-12-14,B07VX71FZP,Used,ELEC30,0.3,6.5,1
12350,46879,2019-12-14,B08DDRGWTJ,Used,SALE30,0.3,6.5,2
12350,46879,2019-12-14,B09WN3SRC7,Not Used,HGEAR30,0.3,6.5,1
12350,46881,2019-12-14,B07XLML2YS,Used,ELEC30,0.3,6.5,1
12350,46882,2019-12-14,B07VX71FZP,Not Used,ELEC30,0.3,12.99,1
12350,46882,2019-12-14,B07XLML2YS,Not Used,ELEC30,0.3,12.99,1
12356,38208,2019-09-15,B0941392C8,Used,SALE30,0.3,6.0,1
12356,38209,2019-09-15,B00C3GBCIS,Not Used,EXTRA30,0.3,6.5,1
12356,38210,2019-09-15,B09MT94QLL,Not Used,SALE30,0.3,6.0,1
12356,38210,2019-09-15,B0BBN4DZBD,Used,NE30,0.3,6.0,1
12356,38212,2019-09-15,B07XLML2YS,Not Used,ELEC30,0.3,12.99,2
12356,38213,2019-09-15,B09DL9978Y,Not Used,ELEC30,0.3,6.0,1
12356,38214,2019-09-15,B01JOFKL0A,Not Used,SALE30,0.3,6.0,1
12356,38214,2019-09-15,B06XR9PR5X,Not Used,SALE30,0.3,6.0,2
12356,38214,2019-09-15,B07LFWP97N,Not Used,SALE30,0.3,6.0,1
12356,38214,2019-09-15,B09VT6JKRP,Not Used,SALE30,0.3,6.0,1
12356,38214,2019-09-15,B0B9XLX8VR,Not Used,SALE30,0.3,6.0,1
