user_id,age,gender
17850,33,Female
13047,57,Male
12583,59,Male
13748,32,Female
15100,35,Male
15291,55,Female
14688,26,Male
17809,21,Female
15311,33,Male
14527,22,Male
16098,29,Male
18074,19,Male
17420,53,Male
16029,48,Male
16250,19,Male
12431,30,Male
17511,50,Female
17548,57,Female
13705,58,Male
13747,53,Female
13408,48,Male
13767,29,Male
17924,54,Female
13448,20,Female
15862,42,Female
15513,56,Female
12791,42,Male
16218,57,Female
14045,26,Female
14307,45,Female
17908,34,Male
17920,29,Female
12838,21,Male
13255,44,Male
16583,52,Female
18085,57,Female
13758,29,Male
13694,41,Male
15983,46,Female
14849,45,Male
17968,26,Female
16210,36,Female
17897,29,Male
17377,32,Male
16552,53,Female
17181,59,Male
17951,54,Female
14729,47,Male
12748,39,Male
15012,59,Female
12868,46,Male
17572,56,Male
14078,34,Male
14001,44,Female
12662,26,Female
15525,24,Female
14237,50,Female
17905,26,Male
15485,47,Male
12433,26,Male
16955,48,Female
15350,55,Male
15605,46,Male
18144,48,Female
15922,47,Female
14594,21,Female
15165,56,Male
14911,44,Female
16456,45,Female
17841,35,Male
12472,32,Male
17346,39,Female
17643,41,Male
17873,32,Female
13093,27,Female
12921,36,Female
13468,42,Female
17760,55,Male
16928,60,Female
16048,22,Male
16274,31,Female
14496,49,Female
14696,53,Female
16539,30,Female
17025,57,Female
13777,31,Female
17690,60,Female
12947,50,Male
17460,40,Male
18229,24,Male
14142,57,Female
17069,24,Male
13065,23,Female
14606,30,Male
16835,44,Female
15235,33,Male
13576,56,Male
18011,25,Female
13090,24,Female
15694,45,Male
14741,44,Male
13715,22,Male
14092,24,Female
17732,41,Female
12855,37,Female
15752,20,Male
17855,29,Female
14047,52,Female
17925,47,Male
13941,56,Female
17017,36,Female
14135,26,Male
13108,25,Male
12471,20,Male
15601,19,Female
13418,34,Female
14766,48,Female
15658,20,Female
14388,47,Male
14901,53,Female
18041,47,Female
15955,55,Female
15070,36,Male
16244,33,Male
15111,53,Female
14390,26,Female
16546,50,Female
15260,20,Male
13305,42,Male
14491,19,Male
14060,50,Female
15923,27,Female
16752,60,Male
17287,45,Male
15363,28,Female
12915,40,Female
15544,25,Female
15738,46,Male
16042,38,Female
17381,37,Female
15827,26,Male
14180,39,Male
13117,32,Male
16916,55,Female
17964,51,Male
14466,31,Female
17235,40,Male
16510,44,Male
17802,24,Female
15107,46,Female
17976,53,Male
14449,56,Female
15838,40,Female
16781,38,Female
17547,36,Female
13491,22,Female
16186,45,Female
17685,20,Male
17581,32,Male
15732,28,Female
13138,56,Male
15823,52,Female
17567,29,Male
15061,22,Male
16203,28,Female
15640,47,Male
15574,21,Female
16770,26,Female
17838,46,Female
17228,51,Female
14829,57,Male
17412,40,Male
14031,33,Female
14775,59,Male
12971,40,Female
15834,27,Female
17659,44,Male
15299,28,Male
15646,36,Male
13958,52,Female
14443,30,Male
14156,59,Female
16995,28,Male
13402,34,Male
18168,21,Male
17757,27,Female
14625,45,Female
13011,48,Female
13798,22,Female
15384,40,Male
14264,20,Female
13295,44,Female
16754,45,Male
16634,59,Female
18239,21,Male
14576,39,Female
13145,42,Female
14395,19,Female
14865,47,Female
15093,45,Male
12738,45,Female
16150,44,Female
17552,51,Male
14236,47,Male
17961,35,Male
14573,25,Female
17135,54,Female
17396,41,Female
14213,49,Male
12967,23,Male
12686,56,Male
14679,38,Female
15240,42,Female
18225,32,Male
13370,22,Female
16883,18,Male
13520,31,Male
12841,29,Male
16905,50,Male
12427,49,Male
17967,60,Female
16891,43,Male
14589,47,Male
14680,27,Male
17884,20,Female
12557,50,Female
14083,42,Female
13013,39,Male
14210,39,Female
16477,27,Female
12600,60,Female
16013,44,Female
17949,56,Male
12779,48,Female
16926,38,Male
17787,44,Male
12682,59,Female
14723,45,Male
17954,50,Female
17819,55,Female
12712,18,Male
15373,50,Female
16140,27,Male
17198,45,Male
17238,34,Female
12793,33,Male
15769,42,Male
14396,60,Male
14898,44,Male
12725,37,Female
16725,48,Male
12395,29,Male
16455,31,Male
13081,18,Male
15545,28,Female
17243,30,Male
15465,18,Male
15708,34,Female
13089,48,Female
16033,59,Female
13838,50,Male
15351,24,Female
18055,41,Male
15038,31,Female
18109,53,Female
13069,39,Female
16241,32,Male
14800,27,Female
16839,55,Male
16168,41,Female
16931,21,Female
16814,18,Male
13269,58,Female
14813,41,Male
12567,53,Female
17062,27,Female
15332,39,Male
14810,48,Female
16353,20,Male
18118,60,Male
